Simple queue system model:mu = 1
Lambda    Count     Min       Max       Mean      Median    Sd        Utilization
0.200     10        0.110     6.677     2.037     0.714     2.421     1.000    
0.400     10        0.104     2.775     1.150     1.038     0.670     1.000    
0.600     10        0.072     4.854     1.728     1.200     1.623     1.000    
0.800     10        0.163     3.954     1.656     1.416     1.202     1.000    
0.900     10        0.489     7.692     4.918     6.233     2.797     1.000    
0.990     10        0.057     6.741     1.692     0.637     2.516     1.000    
Simple queue system model:mu = 1
Lambda    Count     Min       Max       Mean      Median    Sd        Utilization
0.200     50        0.008     6.677     1.233     0.725     1.449     1.000    
0.400     50        0.016     7.391     2.209     1.327     2.187     1.000    
0.600     50        0.009     7.817     2.126     1.624     1.760     1.000    
0.800     50        0.000     12.537    4.373     2.836     4.283     1.000    
0.900     50        0.404     15.538    8.823     10.951    4.397     1.000    
0.990     50        0.009     4.276     1.739     1.572     1.189     1.000    
